id,x,y
0,0.0,0.0
1,1.0,0.0
2,2.0,0.0
3,3.0,0.0
4,4.0,0.0
5,5.0,0.0
6,6.0,0.0
7,7.0,0.0
8,8.0,0.0
9,9.0,0.0
10,0.0,1.0
11,1.0,1.0
12,2.0,1.0
13,3.0,1.0
14,4.0,1.0
15,5.0,1.0
16,6.0,1.0
17,7.0,1.0
18,8.0,1.0
19,9.0,1.0
20,0.0,2.0
21,1.0,2.0
22,2.0,2.0
23,3.0,2.0
24,4.0,2.0
25,5.0,2.0
26,6.0,2.0
27,7.0,2.0
28,8.0,2.0
29,9.0,2.0
30,0.0,3.0
31,1.0,3.0
32,2.0,3.0
33,3.0,3.0
34,4.0,3.0
35,5.0,3.0
36,6.0,3.0
37,7.0,3.0
38,8.0,3.0
39,9.0,3.0
40,0.0,4.0
41,1.0,4.0
42,2.0,4.0
43,3.0,4.0
44,4.0,4.0
45,5.0,4.0
46,6.0,4.0
47,7.0,4.0
48,8.0,4.0
49,9.0,4.0
50,0.0,5.0
51,1.0,5.0
52,2.0,5.0
53,3.0,5.0
54,4.0,5.0
55,5.0,5.0
56,6.0,5.0
57,7.0,5.0
58,8.0,5.0
59,9.0,5.0
60,0.0,6.0
61,1.0,6.0
62,2.0,6.0
63,3.0,6.0
64,4.0,6.0
65,5.0,6.0
66,6.0,6.0
67,7.0,6.0
68,8.0,6.0
69,9.0,6.0
70,0.0,7.0
71,1.0,7.0
72,2.0,7.0
73,3.0,7.0
74,4.0,7.0
75,5.0,7.0
76,6.0,7.0
77,7.0,7.0
78,8.0,7.0
79,9.0,7.0
