u,v,w
0,198,8.6963
198,0,8.6963
198,87,12.3182
87,198,12.3182
198,259,15.2164
259,198,15.2164
198,89,22.9261
89,198,22.9261
87,293,11.8002
293,87,11.8002
259,39,26.2415
39,259,26.2415
259,251,15.6253
251,259,15.6253
39,148,13.3456
148,39,13.3456
89,111,26.0801
111,89,26.0801
111,309,7.8066
309,111,7.8066
198,321,26.4270
321,198,26.4270
198,2,19.4536
2,198,19.4536
0,4,3.0762
4,0,3.0762
89,171,10.9150
171,89,10.9150
87,374,12.6711
374,87,12.6711
198,121,19.0750
121,198,19.0750
321,238,5.2843
238,321,5.2843
171,365,17.8503
365,171,17.8503
87,326,11.6038
326,87,11.6038
111,292,13.4196
292,111,13.4196
238,304,12.2793
304,238,12.2793
309,344,15.5386
344,309,15.5386
293,40,24.2056
40,293,24.2056
238,322,11.9595
322,238,11.9595
259,231,19.0266
231,259,19.0266
40,349,6.3416
349,40,6.3416
0,124,15.6911
124,0,15.6911
121,266,14.1801
266,121,14.1801
89,199,6.5432
199,89,6.5432
259,282,11.6105
282,259,11.6105
304,351,27.5481
351,304,27.5481
148,375,10.5400
375,148,10.5400
351,383,17.9643
383,351,17.9643
40,58,3.7402
58,40,3.7402
304,158,19.5889
158,304,19.5889
321,125,30.3574
125,321,30.3574
87,23,16.9449
23,87,16.9449
171,141,12.1343
141,171,12.1343
351,69,21.5212
69,351,21.5212
351,43,19.8854
43,351,19.8854
266,59,27.0522
59,266,27.0522
171,178,29.9374
178,171,29.9374
374,190,15.6153
190,374,15.6153
321,333,26.7171
333,321,26.7171
0,352,9.7216
352,0,9.7216
365,37,27.2188
37,365,27.2188
238,371,13.6872
371,238,13.6872
171,29,10.2025
29,171,10.2025
59,347,20.7818
347,59,20.7818
89,12,14.8307
12,89,14.8307
39,166,28.9306
166,39,28.9306
40,6,17.0941
6,40,17.0941
23,240,7.8951
240,23,7.8951
23,363,36.8581
363,23,36.8581
251,122,17.0173
122,251,17.0173
178,153,10.8091
153,178,10.8091
363,41,3.6302
41,363,3.6302
344,390,10.5964
390,344,10.5964
365,272,26.4765
272,365,26.4765
124,38,25.9787
38,124,25.9787
365,208,21.0638
208,365,21.0638
282,27,44.5483
27,282,44.5483
238,345,18.0568
345,238,18.0568
266,205,6.1614
205,266,6.1614
374,364,32.0686
364,374,32.0686
171,144,8.1828
144,171,8.1828
37,86,21.7651
86,37,21.7651
166,119,4.3522
119,166,4.3522
121,366,31.8665
366,121,31.8665
86,53,23.4119
53,86,23.4119
374,227,33.5407
227,374,33.5407
205,285,32.6643
285,205,32.6643
41,209,10.9935
209,41,10.9935
375,67,56.0117
67,375,56.0117
292,17,9.8839
17,292,9.8839
69,234,11.0698
234,69,11.0698
371,316,26.2610
316,371,26.2610
259,279,22.7114
279,259,22.7114
121,248,10.7201
248,121,10.7201
144,377,19.8220
377,144,19.8220
349,334,49.7670
334,349,49.7670
119,135,14.3072
135,119,14.3072
293,356,23.3293
356,293,23.3293
208,64,8.0861
64,208,8.0861
12,93,34.8152
93,12,34.8152
309,265,5.2497
265,309,5.2497
148,66,17.0763
66,148,17.0763
282,192,18.6915
192,282,18.6915
111,330,24.6739
330,111,24.6739
121,340,17.5582
340,121,17.5582
285,147,24.3939
147,285,24.3939
347,396,5.3637
396,347,5.3637
2,30,18.4875
30,2,18.4875
199,306,33.0247
306,199,33.0247
23,348,6.2780
348,23,6.2780
27,281,7.4109
281,27,7.4109
309,311,13.1917
311,309,13.1917
86,393,48.5344
393,86,48.5344
86,213,21.6355
213,86,21.6355
198,79,14.7004
79,198,14.7004
321,230,15.2764
230,321,15.2764
377,191,44.9341
191,377,44.9341
366,329,35.4233
329,366,35.4233
326,313,16.2086
313,326,16.2086
281,337,15.2691
337,281,15.2691
171,193,25.0316
193,171,25.0316
304,7,14.4751
7,304,14.4751
79,254,29.2220
254,79,29.2220
383,34,0.9600
34,383,0.9600
254,182,11.6546
182,254,11.6546
59,388,14.6691
388,59,14.6691
316,268,28.9910
268,316,28.9910
79,225,29.8789
225,79,29.8789
147,189,7.2086
189,147,7.2086
199,145,28.9603
145,199,28.9603
4,217,12.5395
217,4,12.5395
265,99,31.4470
99,265,31.4470
326,36,6.6889
36,326,6.6889
190,159,24.3543
159,190,24.3543
371,314,26.1692
314,371,26.1692
144,335,29.8500
335,144,29.8500
349,243,11.6016
243,349,11.6016
227,269,37.9378
269,227,37.9378
192,24,12.2759
24,192,12.2759
193,362,33.8308
362,193,33.8308
29,128,16.7916
128,29,16.7916
39,100,13.8640
100,39,13.8640
189,174,31.6205
174,189,31.6205
329,16,27.3785
16,329,27.3785
158,5,5.3799
5,158,5.3799
364,280,16.5715
280,364,16.5715
198,88,8.1262
88,198,8.1262
43,307,18.8788
307,43,18.8788
227,163,21.9303
163,227,21.9303
67,341,11.5353
341,67,11.5353
147,49,21.7510
49,147,21.7510
43,224,8.6165
224,43,8.6165
37,155,25.9149
155,37,25.9149
371,320,18.5668
320,371,18.5668
225,102,33.5507
102,225,33.5507
174,278,4.7603
278,174,4.7603
121,110,22.8115
110,121,22.8115
209,332,13.1277
332,209,13.1277
279,246,10.1814
246,279,10.1814
36,222,15.3094
222,36,15.3094
321,103,18.9850
103,321,18.9850
213,399,8.4141
399,213,8.4141
69,310,17.5526
310,69,17.5526
2,274,8.5011
274,2,8.5011
171,143,38.3081
143,171,38.3081
198,83,33.8336
83,198,33.8336
222,78,11.2246
78,222,11.2246
365,359,4.1404
359,365,4.1404
334,142,27.5431
142,334,27.5431
265,68,11.2754
68,265,11.2754
344,250,2.9436
250,344,2.9436
321,368,8.6506
368,321,8.6506
37,132,33.8637
132,37,33.8637
141,389,15.5452
389,141,15.5452
37,15,48.5901
15,37,48.5901
274,63,20.8837
63,274,20.8837
121,387,15.9636
387,121,15.9636
359,44,17.0111
44,359,17.0111
314,137,25.8972
137,314,25.8972
208,106,26.8368
106,208,26.8368
141,197,43.7700
197,141,43.7700
351,296,31.0058
296,351,31.0058
282,255,7.2695
255,282,7.2695
292,139,26.3046
139,292,26.3046
389,131,37.9684
131,389,37.9684
238,319,14.2125
319,238,14.2125
205,188,14.5010
188,205,14.5010
268,101,9.4994
101,268,9.4994
101,216,28.1018
216,101,28.1018
110,45,13.7562
45,110,13.7562
362,104,12.5322
104,362,12.5322
362,395,10.8305
395,362,10.8305
208,312,12.4040
312,208,12.4040
67,350,3.9939
350,67,3.9939
395,184,42.5701
184,395,42.5701
293,48,15.7242
48,293,15.7242
389,70,23.2954
70,389,23.2954
79,215,21.6971
215,79,21.6971
389,253,32.3130
253,389,32.3130
345,260,43.4757
260,345,43.4757
144,91,55.4677
91,144,55.4677
351,94,22.5210
94,351,22.5210
144,31,38.5018
31,144,38.5018
388,179,18.9190
179,388,18.9190
184,112,7.7856
112,184,7.7856
41,98,1.8965
98,41,1.8965
189,32,49.0951
32,189,49.0951
182,9,4.1836
9,182,4.1836
205,156,44.6069
156,205,44.6069
269,200,26.0885
200,269,26.0885
345,361,13.5028
361,345,13.5028
70,294,48.1637
294,70,48.1637
198,26,24.6232
26,198,24.6232
178,277,13.5051
277,178,13.5051
24,219,7.7999
219,24,7.7999
304,325,16.3808
325,304,16.3808
106,218,15.8582
218,106,15.8582
337,76,11.6082
76,337,11.6082
219,380,35.6167
380,219,35.6167
393,129,38.7439
129,393,38.7439
387,62,39.2598
62,387,39.2598
122,288,28.3137
288,122,28.3137
292,52,34.9505
52,292,34.9505
37,165,52.9849
165,37,52.9849
325,118,20.2938
