id,x,y
0,46.7099,84.2670
1,23.7758,97.1252
2,39.9236,60.9264
3,43.4051,42.7394
4,49.2192,82.4875
5,20.7814,84.2205
6,93.8431,66.5794
7,51.2791,79.4199
8,13.2985,71.9672
9,97.0825,73.8637
10,0.5853,87.8843
11,2.9008,95.3072
12,56.9399,85.9870
13,7.7398,4.8612
14,55.4938,37.5769
15,48.7096,41.1552
16,76.2913,31.6655
17,50.5115,92.9229
18,9.9294,80.6653
19,61.7104,40.4065
20,90.7936,0.7954
21,10.1853,88.3142
22,58.9377,15.5797
23,78.8478,69.2169
24,9.0536,78.8000
25,25.4986,63.1108
26,47.8836,52.3975
27,41.9346,51.7427
28,8.6145,41.2138
29,90.0039,82.4373
30,25.1144,49.8596
31,89.7365,50.2961
32,97.9275,39.4247
33,74.1393,2.3128
34,37.3947,47.8682
35,81.7427,16.3863
36,59.3186,52.8276
37,71.2920,84.1788
38,48.5812,55.2071
39,16.7545,94.5130
40,95.5158,83.5915
41,69.4532,30.9998
42,42.0764,8.7779
43,39.7647,48.4886
44,82.0360,55.7519
45,83.2898,80.9315
46,87.5532,48.0346
47,59.7299,28.3929
48,60.4667,66.2520
49,80.3004,69.7588
50,77.0126,14.3208
51,4.0130,6.4448
52,11.9200,71.1637
53,54.0763,73.0304
54,59.3009,17.6138
55,15.9190,8.9210
56,69.8239,12.5129
57,7.7087,28.0735
58,97.3372,80.3247
59,71.6947,62.0906
60,60.2468,18.0002
61,1.8577,53.8544
62,89.5120,36.3594
63,22.3958,39.0128
64,92.4704,42.9678
65,82.2117,34.9056
66,44.6970,86.0131
67,52.8390,47.4497
68,48.0299,56.1723
69,5.5265,43.3852
70,83.6184,68.4653
71,89.4089,7.6948
72,81.7083,40.4478
73,30.5719,24.3366
74,31.8835,14.0798
75,61.1507,3.5257
76,61.3488,27.5224
77,55.4215,7.7923
78,48.2028,50.0691
79,57.7451,89.9479
80,19.1696,87.9871
81,13.5649,26.3293
82,99.5271,39.0376
83,44.1241,43.7085
84,21.1216,23.2431
85,50.3972,27.7171
86,53.3020,96.4295
87,61.9879,70.9116
88,43.8672,80.3678
89,71.7414,86.9184
90,75.8606,8.7373
91,64.2331,35.3012
92,10.4989,62.2610
93,28.2134,66.3174
94,15.8441,78.9848
95,7.4377,82.0802
96,9.2164,94.9249
97,80.6885,21.5122
98,67.6255,30.4938
99,66.6033,45.5466
100,5.3961,86.5634
101,8.9272,38.6244
102,14.5577,46.5175
103,20.5225,83.7144
104,88.5838,59.2537
105,58.4271,51.3115
106,89.5262,20.4386
107,2.9328,99.5198
108,28.8059,4.5446
109,71.1951,23.3126
110,92.3199,70.5540
111,49.3025,73.6268
112,86.8091,44.5628
113,0.3685,98.6609
114,9.3633,87.2413
115,85.3159,77.3710
116,9.3936,89.2144
117,42.0597,15.6202
118,17.9325,66.1903
119,30.3267,64.1296
