u,v,w
0,146,30.4505
146,0,30.4505
0,148,22.9312
148,0,22.9312
148,81,23.9560
81,148,23.9560
81,4,13.3788
4,81,13.3788
4,76,11.6499
76,4,11.6499
0,97,32.3856
97,0,32.3856
4,33,32.6841
33,4,32.6841
76,71,8.8130
71,76,8.8130
97,39,28.2613
39,97,28.2613
148,16,19.7565
16,148,19.7565
33,75,6.6696
75,33,6.6696
16,159,16.1542
159,16,16.1542
39,115,15.5871
115,39,15.5871
146,65,27.7836
65,146,27.7836
115,173,30.6544
173,115,30.6544
33,100,25.4829
100,33,25.4829
159,164,11.7627
164,159,11.7627
146,126,27.1217
126,146,27.1217
75,41,24.5239
41,75,24.5239
97,56,12.7466
56,97,12.7466
100,106,22.5291
106,100,22.5291
146,141,19.8495
141,146,19.8495
148,58,29.5221
58,148,29.5221
159,43,5.7380
43,159,5.7380
106,47,6.4391
47,106,6.4391
141,120,29.1751
120,141,29.1751
126,3,26.8033
3,126,26.8033
120,157,20.5670
157,120,20.5670
173,32,15.3703
32,173,15.3703
157,86,4.9803
86,157,4.9803
159,31,18.8926
31,159,18.8926
148,171,33.4897
171,148,33.4897
106,134,12.0984
134,106,12.0984
120,60,25.2243
60,120,25.2243
86,6,27.9130
6,86,27.9130
41,98,18.7612
98,41,18.7612
126,189,30.0846
189,126,30.0846
65,186,60.1184
186,65,60.1184
146,152,22.8913
152,146,22.8913
159,198,16.2202
198,159,16.2202
43,46,37.6707
46,43,37.6707
157,52,14.4692
52,157,14.4692
115,48,13.3403
48,115,13.3403
4,108,23.0774
108,4,23.0774
152,118,29.7056
118,152,29.7056
6,136,28.4814
136,6,28.4814
16,59,23.8473
59,16,23.8473
16,28,25.3964
28,16,25.3964
186,63,8.1228
63,186,8.1228
43,69,13.1549
69,43,13.1549
98,180,16.4781
180,98,16.4781
98,29,15.2203
29,98,15.2203
146,116,38.3938
116,146,38.3938
152,54,6.0308
54,152,6.0308
29,178,13.1208
178,29,13.1208
97,131,7.8001
131,97,7.8001
56,14,25.5407
14,56,25.5407
3,121,41.7033
121,3,41.7033
65,135,51.8697
135,65,51.8697
141,57,24.3778
57,141,24.3778
3,53,18.1991
53,3,18.1991
58,174,16.8427
174,58,16.8427
57,89,26.1635
89,57,26.1635
16,37,18.0251
37,16,18.0251
115,142,7.3865
142,115,7.3865
157,125,18.1738
125,157,18.1738
142,9,9.3674
9,142,9.3674
41,143,23.5375
143,41,23.5375
86,94,40.1227
94,86,40.1227
6,30,2.2881
30,6,2.2881
178,181,7.6961
181,178,7.6961
89,67,33.7187
67,89,33.7187
59,154,15.1429
154,59,15.1429
154,24,9.9748
24,154,9.9748
0,35,42.7821
35,0,42.7821
125,149,9.7467
149,125,9.7467
14,112,25.7928
112,14,25.7928
164,179,13.3361
179,164,13.3361
28,140,11.0651
140,28,11.0651
120,165,18.5449
165,120,18.5449
48,103,18.9667
103,48,18.9667
141,110,30.1886
110,141,30.1886
146,13,42.3303
13,146,42.3303
110,34,46.6243
34,110,46.6243
58,11,8.7708
11,58,8.7708
52,194,18.5383
194,52,18.5383
103,26,33.1326
26,103,33.1326
57,182,24.7811
182,57,24.7811
65,188,59.0240
188,65,59.0240
32,1,10.6569
1,32,10.6569
178,44,9.8949
44,178,9.8949
44,175,18.0895
175,44,18.0895
194,137,12.0977
137,194,12.0977
152,82,31.8219
82,152,31.8219
121,84,25.6508
84,121,25.6508
173,170,1.9190
170,173,1.9190
46,49,13.3653
49,46,13.3653
134,2,17.6876
2,134,17.6876
126,163,17.4877
163,126,17.4877
120,15,25.7037
15,120,25.7037
33,127,12.0864
127,33,12.0864
131,107,35.7171
107,131,35.7171
134,8,4.5985
8,134,4.5985
157,64,23.7109
64,157,23.7109
103,124,39.9413
124,103,39.9413
165,128,44.5709
128,165,44.5709
189,80,32.5580
80,189,32.5580
173,5,29.5642
5,173,29.5642
33,10,35.3424
10,33,35.3424
159,168,10.0995
168,159,10.0995
43,145,1.1994
145,43,1.1994
98,96,12.9279
96,98,12.9279
89,102,30.6340
102,89,30.6340
33,132,44.3826
132,33,44.3826
32,90,40.3026
90,32,40.3026
148,12,52.4228
12,148,52.4228
3,18,43.7131
18,3,43.7131
168,61,23.0732
61,168,23.0732
134,172,15.5133
172,134,15.5133
171,109,20.7560
109,171,20.7560
64,192,20.3994
