u,v,w
0,1,4.8988
1,0,4.8988
0,15,2.8327
15,0,2.8327
1,2,1.1570
2,1,1.1570
1,16,2.1101
16,1,2.1101
2,3,2.7474
3,2,2.7474
2,17,3.2575
17,2,3.2575
3,4,3.7320
4,3,3.7320
3,18,2.0697
18,3,2.0697
4,5,4.2733
5,4,4.2733
4,19,3.1849
19,4,3.1849
5,6,3.0631
6,5,3.0631
5,20,1.4469
20,5,1.4469
6,7,3.8587
7,6,3.8587
6,21,4.6953
21,6,4.6953
7,8,4.0580
8,7,4.0580
7,22,4.5612
22,7,4.5612
8,9,4.8640
9,8,4.8640
8,23,4.1732
23,8,4.1732
9,10,1.2144
10,9,1.2144
9,24,1.7185
24,9,1.7185
10,11,3.1020
11,10,3.1020
10,25,4.2089
25,10,4.2089
11,12,1.2508
12,11,1.2508
11,26,2.2919
26,11,2.2919
12,13,3.3994
13,12,3.3994
12,27,3.4470
27,12,3.4470
13,14,3.9930
14,13,3.9930
13,28,4.2473
28,13,4.2473
14,29,4.0587
29,14,4.0587
15,16,1.6149
16,15,1.6149
15,30,4.5498
30,15,4.5498
16,17,1.4289
17,16,1.4289
16,31,4.3678
31,16,4.3678
17,18,3.4994
18,17,3.4994
17,32,2.2966
32,17,2.2966
18,19,3.0643
19,18,3.0643
18,33,1.3765
33,18,1.3765
19,20,2.6493
20,19,2.6493
19,34,3.1526
34,19,3.1526
20,21,3.7924
21,20,3.7924
20,35,3.0241
35,20,3.0241
21,22,3.7983
22,21,3.7983
21,36,3.3937
36,21,3.3937
22,23,3.3301
23,22,3.3301
22,37,2.0260
37,22,2.0260
23,24,3.3686
24,23,3.3686
23,38,1.8150
38,23,1.8150
24,25,2.3038
25,24,2.3038
24,39,2.3493
39,24,2.3493
25,26,3.2882
26,25,3.2882
25,40,3.0801
40,25,3.0801
26,27,3.4806
27,26,3.4806
26,41,1.7945
41,26,1.7945
27,28,1.8353
28,27,1.8353
27,42,3.7293
42,27,3.7293
28,29,4.1693
29,28,4.1693
28,43,4.4150
43,28,4.4150
29,44,2.7376
44,29,2.7376
30,31,4.2690
31,30,4.2690
30,45,4.2776
45,30,4.2776
31,32,1.9714
32,31,1.9714
31,46,3.4397
46,31,3.4397
32,33,4.6293
33,32,4.6293
32,47,4.2364
47,32,4.2364
33,34,1.2930
34,33,1.2930
33,48,4.1524
48,33,4.1524
34,35,4.1348
35,34,4.1348
34,49,4.5136
49,34,4.5136
35,36,3.3315
36,35,3.3315
35,50,3.7205
50,35,3.7205
36,37,1.6339
37,36,1.6339
36,51,2.4451
51,36,2.4451
37,38,4.0269
38,37,4.0269
37,52,2.0979
52,37,2.0979
38,39,1.3604
39,38,1.3604
38,53,3.2693
53,38,3.2693
39,40,2.0434
40,39,2.0434
39,54,3.7339
54,39,3.7339
40,41,2.6770
41,40,2.6770
40,55,2.5682
55,40,2.5682
41,42,3.3618
42,41,3.3618
41,56,1.6482
56,41,1.6482
42,43,1.6003
43,42,1.6003
42,57,1.5102
57,42,1.5102
43,44,3.5473
44,43,3.5473
43,58,4.6536
58,43,4.6536
44,59,3.9220
59,44,3.9220
45,46,3.9956
46,45,3.9956
45,60,2.3988
60,45,2.3988
46,47,4.7972
47,46,4.7972
46,61,3.2903
61,46,3.2903
47,48,4.2072
48,47,4.2072
47,62,3.8268
62,47,3.8268
48,49,4.6161
49,48,4.6161
48,63,4.0262
63,48,4.0262
49,50,3.1918
50,49,3.1918
49,64,4.0669
64,49,4.0669
50,51,2.9651
51,50,2.9651
50,65,4.2000
65,50,4.2000
51,52,3.1076
52,51,3.1076
51,66,2.4869
66,51,2.4869
52,53,2.1161
53,52,2.1161
52,67,3.7372
67,52,3.7372
53,54,2.6887
54,53,2.6887
53,68,3.5122
68,53,3.5122
54,55,3.8326
55,54,3.8326
54,69,4.8356
69,54,4.8356
55,56,3.7529
56,55,3.7529
55,70,2.7008
70,55,2.7008
56,57,4.0121
57,56,4.0121
56,71,1.3324
71,56,1.3324
57,58,3.3378
58,57,3.3378
57,72,1.9845
72,57,1.9845
58,59,1.3311
59,58,1.3311
58,73,4.5956
73,58,4.5956
59,74,2.8740
74,59,2.8740
60,61,1.0628
61,60,1.0628
60,75,4.0551
75,60,4.0551
61,62,1.6869
62,61,1.6869
61,76,1.4315
76,61,1.4315
62,63,3.6227
63,62,3.6227
62,77,4.9859
77,62,4.9859
63,64,2.7308
64,63,2.7308
63,78,4.3444
78,63,4.3444
64,65,2.4305
65,64,2.4305
64,79,2.9870
79,64,2.9870
65,66,4.0957
66,65,4.0957
65,80,4.0341
80,65,4.0341
66,67,4.8196
67,66,4.8196
66,81,4.3184
81,66,4.3184
67,68,1.0595
68,67,1.0595
67,82,2.2422
82,67,2.2422
68,69,4.3103
69,68,4.3103
68,83,4.7265
83,68,4.7265
69,70,1.9089
70,69,1.9089
69,84,4.8880
84,69,4.8880
70,71,2.4598
71,70,2.4598
70,85,2.0574
85,70,2.0574
71,72,3.1016
72,71,3.1016
71,86,2.1476
86,71,2.1476
72,73,3.8952
73,72,3.8952
72,87,3.5108
87,72,3.5108
73,74,4.6835
74,73,4.6835
73,88,4.6750
88,73,4.6750
74,89,1.9394
89,74,1.9394
75,76,2.1130
76,75,2.1130
75,90,4.0106
90,75,4.0106
76,77,1.0655
77,76,1.0655
76,91,2.1242
91,76,2.1242
77,78,1.7083
78,77,1.7083
77,92,3.2701
92,77,3.2701
78,79,1.0964
79,78,1.0964
78,93,4.3822
93,78,4.3822
79,80,1.0396
80,79,1.0396
79,94,1.6485
94,79,1.6485
80,81,3.8396
81,80,3.8396
80,95,1.6770
95,80,1.6770
81,82,1.5204
82,81,1.5204
81,96,1.1259
96,81,1.1259
82,83,2.2502
83,82,2.2502
82,97,2.1659
97,82,2.1659
83,84,4.5196
84,83,4.5196
83,98,2.7897
98,83,2.7897
84,85,3.8209
85,84,3.8209
84,99,2.3205
99,84,2.3205
85,86,3.2874
86,85,3.2874
85,100,2.0573
100,85,2.0573
86,87,1.8540
87,86,1.8540
86,101,1.1787
101,86,1.1787
87,88,3.3358
88,87,3.3358
87,102,1.2221
102,87,1.2221
88,89,3.6273
89,88,3.6273
88,103,4.4918
103,88,4.4918
89,104,3.3082
104,89,3.3082
90,91,1.3341
91,90,1.3341
90,105,2.0233
105,90,2.0233
