id,x,y
0,16.8528,98.6096
1,24.5155,82.2545
2,35.0302,26.6344
3,35.8638,54.4925
4,53.3358,65.5924
5,94.8797,65.1833
6,81.7337,86.4968
7,34.6446,12.2269
8,21.0761,47.4779
9,83.7845,29.7415
10,24.9846,52.1759
11,88.9751,92.6074
12,84.8274,86.7164
13,12.2568,84.1467
14,99.9203,11.4672
15,50.4835,66.0190
16,46.8604,48.9467
17,98.1567,71.5685
18,36.2084,53.4485
19,95.0949,42.4918
20,9.7424,82.3945
21,63.8206,72.9625
22,61.2561,65.8936
23,67.7767,88.6603
24,76.2307,85.0952
25,52.8241,8.0819
26,96.0237,98.6303
27,5.0196,60.0637
28,8.6631,10.6641
29,37.1684,53.4348
30,5.1639,96.6203
31,85.4789,9.3287
32,56.1320,82.1155
33,9.4514,53.2903
34,23.7375,33.6141
35,94.3426,86.2013
36,17.2303,33.4640
37,28.0201,24.8691
38,43.6845,94.3203
39,64.7015,45.7786
40,54.0063,55.1863
41,93.8052,28.0847
42,51.4014,2.4372
43,12.9985,30.5658
44,97.3727,6.1110
45,73.5289,78.9922
46,29.2764,28.3615
47,14.4155,24.5583
48,95.8797,9.9718
49,99.5158,52.3938
