u,v,w
0,1,2.7919
1,0,2.7919
0,5,3.7679
5,0,3.7679
1,2,3.5449
2,1,3.5449
1,6,4.5826
6,1,4.5826
2,3,1.2290
3,2,1.2290
2,7,4.7153
7,2,4.7153
3,4,2.3534
4,3,2.3534
3,8,1.3812
8,3,1.3812
4,9,4.3811
9,4,4.3811
5,6,2.6363
6,5,2.6363
5,10,4.1244
10,5,4.1244
6,7,4.3324
7,6,4.3324
6,11,4.8416
11,6,4.8416
7,8,2.4661
8,7,2.4661
7,12,4.7430
12,7,4.7430
8,9,4.6256
9,8,4.6256
8,13,2.6034
13,8,2.6034
9,14,4.8728
14,9,4.8728
10,11,3.6304
11,10,3.6304
10,15,3.0879
15,10,3.0879
11,12,2.4618
12,11,2.4618
11,16,3.1466
16,11,3.1466
12,13,1.4431
13,12,1.4431
12,17,4.9976
17,12,4.9976
13,14,1.1276
14,13,1.1276
13,18,1.0315
18,13,1.0315
14,19,2.2461
19,14,2.2461
15,16,1.4385
16,15,1.4385
15,20,1.4733
20,15,1.4733
16,17,3.8366
17,16,3.8366
16,21,1.5373
21,16,1.5373
17,18,4.8695
18,17,4.8695
17,22,2.1634
22,17,2.1634
18,19,2.7811
19,18,2.7811
18,23,3.0751
23,18,3.0751
19,24,1.4223
24,19,1.4223
20,21,4.8621
21,20,4.8621
21,22,3.6592
22,21,3.6592
22,23,2.6786
23,22,2.6786
23,24,4.3512
24,23,4.3512
